icon_id,display_name,description,source_type,related_kind,related_id,matched_item_id,icon_path,icon_by_id_path,collision_types
198,Aura do Gladiador,Aumenta em 12% a vida máxima e em 20% a energia máxima. Dura até o final da Temporada da Arena. Não acumula com efeitos similares.,influence_icon,influence,50,,all_icons_named_png/00198_aura_do_gladiador.png,all_icons_by_id_png/198.png,"influence_icon,db_asset"
199,Aura do Gladiador,Aumenta em 10% a vida máxima e em 15% a energia máxima. Dura até o final da Temporada da Arena. Não acumula com efeitos similares.,influence_icon,influence,51,,all_icons_named_png/00199_aura_do_gladiador.png,all_icons_by_id_png/199.png,"influence_icon,db_asset"
200,Resiliência Extraordinária,Reduz em 3% o dano recebido de monstros. Dura 24 horas. Acumula até 3 vezes.,influence_icon,influence,200,,all_icons_named_png/00200_resiliencia_extraordinaria.png,all_icons_by_id_png/200.png,"influence_icon,db_asset"
201,Humor Crítico,Aumenta em 5% a chance de Acerto Crítico e a Força de Acerto Crítico do personagem. Dura 18 horas. Acumula até 3 vezes.,influence_icon,influence,201,,all_icons_named_png/00201_humor_critico.png,all_icons_by_id_png/201.png,"influence_icon,db_asset"
202,Poder Sobrenatural,"Aumenta em 2,5% o dano contra monstros. Dura 24 horas. Acumula até 3 vezes.",influence_icon,influence,202,,all_icons_named_png/00202_poder_sobrenatural.png,all_icons_by_id_png/202.png,"influence_icon,db_asset"
203,Aventura Sinistra,Permite que o personagem entre nas masmorras do Circo dos Horrores de graça. Dura 1 hora. Este efeito não acumula.,influence_icon,influence,203,,all_icons_named_png/00203_aventura_sinistra.png,all_icons_by_id_png/203.png,"influence_icon,db_asset"
204,Companhia forte,Aumenta em 10% a vida e a força dos monstros evocados pela habilidades “Ajuda do Oulbert” e “Ajuda de Birgir”. Duração: 20 horas. Número máximo de auxílios: 5.,influence_icon,influence,204,,all_icons_named_png/00204_companhia_forte.png,all_icons_by_id_png/204.png,"influence_icon,db_asset"
205,Temperamento Rude,Aumenta em 2% o Ataque Penetrante do personagem. Dura 24 horas. Acumula até 3 vezes.,influence_icon,influence,205,,all_icons_named_png/00205_temperamento_rude.png,all_icons_by_id_png/205.png,"influence_icon,db_asset"
206,Força Poderosa,Aumenta em 10% os Poderes Físico e Mágico do personagem. Dura 24 horas. Este efeito não acumula.,influence_icon,influence,206,,all_icons_named_png/00206_forca_poderosa.png,all_icons_by_id_png/206.png,"influence_icon,db_asset"
207,Aventura Congelada,Permite que o personagem entre nas masmorras da Fronteira da Neve de graça. Dura 1 hora. Este efeito não acumula.,influence_icon,influence,207,,all_icons_named_png/00207_aventura_congelada.png,all_icons_by_id_png/207.png,"influence_icon,db_asset"
209,Habilidade do Carpinteiro,Concede 1.000 de experiência de artesanato na profissão de Armas de Longo Alcance.,influence_icon,influence,209,,all_icons_named_png/00209_habilidade_do_carpinteiro.png,all_icons_by_id_png/209.png,"influence_icon,db_asset"
210,Habilidade do Armeiro,Concede 1.000 de experiência de artesanato na profissão de Armas Corpo a Corpo.,influence_icon,influence,210,,all_icons_named_png/00210_habilidade_do_armeiro.png,all_icons_by_id_png/210.png,"influence_icon,db_asset"
211,Habilidade do Alfaiate,Concede 1.000 de experiência de artesanato na profissão de Armadura de Tecido.,influence_icon,influence,211,,all_icons_named_png/00211_habilidade_do_alfaiate.png,all_icons_by_id_png/211.png,"influence_icon,db_asset"
212,Habilidade do Curtidor,Concede 1.000 de experiência de artesanato na profissão de Armadura Leve.,influence_icon,influence,212,,all_icons_named_png/00212_habilidade_do_curtidor.png,all_icons_by_id_png/212.png,"influence_icon,db_asset"
213,Icone 213,,db_icon_unmapped,,,,all_icons_named_png/00213_icone_213.png,all_icons_by_id_png/213.png,db_asset
214,Icone 214,,db_icon_unmapped,,,,all_icons_named_png/00214_icone_214.png,all_icons_by_id_png/214.png,db_asset
215,Icone 215,,db_icon_unmapped,,,,all_icons_named_png/00215_icone_215.png,all_icons_by_id_png/215.png,db_asset
216,Icone 216,,db_icon_unmapped,,,,all_icons_named_png/00216_icone_216.png,all_icons_by_id_png/216.png,db_asset
218,Icone 218,,db_icon_unmapped,,,,all_icons_named_png/00218_icone_218.png,all_icons_by_id_png/218.png,db_asset
219,Icone 219,,db_icon_unmapped,,,,all_icons_named_png/00219_icone_219.png,all_icons_by_id_png/219.png,db_asset
220,Icone 220,,db_icon_unmapped,,,,all_icons_named_png/00220_icone_220.png,all_icons_by_id_png/220.png,db_asset
221,Icone 221,,db_icon_unmapped,,,,all_icons_named_png/00221_icone_221.png,all_icons_by_id_png/221.png,db_asset
222,Icone 222,,db_icon_unmapped,,,,all_icons_named_png/00222_icone_222.png,all_icons_by_id_png/222.png,db_asset
223,Habilidade do Ferreiro,Concede 1.000 de experiência de artesanato na profissão de Armadura Pesada.,influence_icon,influence,223,,all_icons_named_png/00223_habilidade_do_ferreiro.png,all_icons_by_id_png/223.png,"influence_icon,db_asset"
224,Habilidade do Criador de Anéis,Concede 1.000 de experiência de artesanato na profissão de Anéis.,influence_icon,influence,224,,all_icons_named_png/00224_habilidade_do_criador_de_aneis.png,all_icons_by_id_png/224.png,"influence_icon,db_asset"
225,Habilidade do Joalheiro,Concede 1.000 de experiência de artesanato na profissão de Amuletos.,influence_icon,influence,225,,all_icons_named_png/00225_habilidade_do_joalheiro.png,all_icons_by_id_png/225.png,"influence_icon,db_asset"
226,Habilidade da Costureira,Concede 1.000 de experiência de artesanato na profissão de Capotes.,influence_icon,influence,226,,all_icons_named_png/00226_habilidade_da_costureira.png,all_icons_by_id_png/226.png,"influence_icon,db_asset"
227,Sabedoria dos Elfos,Concede 100 de reputação com os Elfos de Malíata.,influence_icon,influence,227,,all_icons_named_png/00227_sabedoria_dos_elfos.png,all_icons_by_id_png/227.png,"influence_icon,db_asset"
228,Sabedoria dos Tlalocs,Concede 100 de reputação com os Tlalocs.,influence_icon,influence,228,,all_icons_named_png/00228_sabedoria_dos_tlalocs.png,all_icons_by_id_png/228.png,"influence_icon,db_asset"
229,Sabedoria dos Sombrios/Garou,Concede 100 de reputação com os Sombrios de Mara'kosh/Garous de Anzu-Iri.,influence_icon,influence,229,,all_icons_named_png/00229_sabedoria_dos_sombrios_garou.png,all_icons_by_id_png/229.png,"influence_icon,db_asset"
230,Sabedoria dos Faunos/Trolls,Concede 100 de reputação com os Faunos de Pelion/Trolls de Tom-Lugu.,influence_icon,influence,230,,all_icons_named_png/00230_sabedoria_dos_faunos_trolls.png,all_icons_by_id_png/230.png,"influence_icon,db_asset"
231,Sabedoria dos Piratas,Concede 100 de reputação com os Piratas do Albatroz/Piratas do Pássaro-trovão.,influence_icon,influence,231,,all_icons_named_png/00231_sabedoria_dos_piratas.png,all_icons_by_id_png/231.png,"influence_icon,db_asset"
232,Icone 232,,db_icon_unmapped,,,,all_icons_named_png/00232_icone_232.png,all_icons_by_id_png/232.png,db_asset
233,Sabedoria dos Tritões,Concede 200 de reputação com os Tritões das Profundezas.,influence_icon,influence,233,,all_icons_named_png/00233_sabedoria_dos_tritoes.png,all_icons_by_id_png/233.png,"influence_icon,db_asset"
234,- Aumenta para 15 o limite de membros da guilda - Desbloqueia um canal de bate-papo privado para membros da guilda - Crie e personalize uma descrição da guilda visível para sua Aliança - Publique e atualize uma mensagem de novidades da guilda visível para todos os membros,,item_id_match,item,234,234,all_icons_named_png/00234_aumenta_para_15_o_limite_de_membros_da_guilda_-_desbloqueia_um_canal_de_bate-papo_privado_.png,all_icons_by_id_png/234.png,"influence_icon,db_asset"
235,- Aumenta para 20 o limite de membros da guilda - Desbloqueia o depósito da guilda,,item_id_match,item,235,235,all_icons_named_png/00235_aumenta_para_20_o_limite_de_membros_da_guilda_-_desbloqueia_o_deposito_da_guilda.png,all_icons_by_id_png/235.png,"influence_icon,db_asset"
236,- Aumenta para 30 o limite de membros da guilda,,item_id_match,item,236,236,all_icons_named_png/00236_aumenta_para_30_o_limite_de_membros_da_guilda.png,all_icons_by_id_png/236.png,"influence_icon,db_asset"
237,- Aumenta para 40 o limite de membros da guilda,,item_id_match,item,237,237,all_icons_named_png/00237_aumenta_para_40_o_limite_de_membros_da_guilda.png,all_icons_by_id_png/237.png,"influence_icon,db_asset"
238,Veneno,,item_id_match,item,238,238,all_icons_named_png/00238_veneno.png,all_icons_by_id_png/238.png,"influence_icon,db_asset"
239,- Aumenta para 60 o limite de membros da guilda,,item_id_match,item,239,239,all_icons_named_png/00239_aumenta_para_60_o_limite_de_membros_da_guilda.png,all_icons_by_id_png/239.png,"influence_icon,db_asset"
240,Reverência dos Tritões,Aumenta em 30% a reputação recebida por todos os membros da guilda com os Tritões das Profundezas. Dura 2 horas. Este efeito não acumula.,influence_icon,influence,240,,all_icons_named_png/00240_reverencia_dos_tritoes.png,all_icons_by_id_png/240.png,"influence_icon,db_asset"
241,Experiência Importante,Aumenta em 50% a experiência recebida por todos os membros da guilda das missões no Cemitério de Navios. Dura 3 horas. Este efeito não acumula.,influence_icon,influence,241,,all_icons_named_png/00241_experiencia_importante.png,all_icons_by_id_png/241.png,"influence_icon,db_asset"
242,Ataque Excepcional,Aumenta em 15% o poder das habilidades de ataque de todos os membros da guilda. Dura 3 horas. Este efeito não acumula.,influence_icon,influence,242,,all_icons_named_png/00242_ataque_excepcional.png,all_icons_by_id_png/242.png,"influence_icon,db_asset"
243,Cura Excepcional,Aumenta em 30% o poder das habilidades de cura de todos os membros da guilda. Dura 3 horas. Este efeito não acumula.,influence_icon,influence,243,,all_icons_named_png/00243_cura_excepcional.png,all_icons_by_id_png/243.png,"influence_icon,db_asset"
244,Instinto de Ataque,"Aumenta em 1% todos os principais atributos de ataque (Acerto Crítico, Precisão, Velocidade de Ataque, Penetração e Recarga de Habilidades) de todos os membros da guilda. Também aumenta em 1,5% os Poderes Físico e Mágico. Dura 2 horas. Acumula até 5 vezes.",influence_icon,influence,244,,all_icons_named_png/00244_instinto_de_ataque.png,all_icons_by_id_png/244.png,"influence_icon,db_asset"
245,Instinto de Defesa,"Aumenta em 1% todos os principais atributos de defesa (Esquiva, Aparo e Bloqueio) de todos os membros da guilda. Também aumenta em 2% as Defesas Física e Mágica. Dura 2 horas. Acumula até 5 vezes.",influence_icon,influence,245,,all_icons_named_png/00245_instinto_de_defesa.png,all_icons_by_id_png/245.png,"influence_icon,db_asset"
246,Teletransporte ao Forte Tartaruga,Teletransporta você instantaneamente ao Forte Tartaruga.,influence_icon,influence,246,,all_icons_named_png/00246_teletransporte_ao_forte_tartaruga.png,all_icons_by_id_png/246.png,"influence_icon,db_asset"
247,Teletransporte à Ilha da Tormenta Aquosa,Teletransporta você instantaneamente à Ilha da Tormenta Aquosa.,influence_icon,influence,247,,all_icons_named_png/00247_teletransporte_a_ilha_da_tormenta_aquosa.png,all_icons_by_id_png/247.png,"skill_icon,influence_icon,db_asset,skill_vs_influence,icon_id_equals_influence_id"
248,Teletransporte à Ilha Solitária,Teletransporta você instantaneamente à Ilha Solitária.,influence_icon,influence,248,,all_icons_named_png/00248_teletransporte_a_ilha_solitaria.png,all_icons_by_id_png/248.png,"influence_icon,db_asset"
249,Lábia do Armeiro,Reduz em 10% o dano recebido de ataques automáticos corpo a corpo. Dura 3 horas. Este efeito não acumula.,influence_icon,influence,61,,all_icons_named_png/00249_labia_do_armeiro.png,all_icons_by_id_png/249.png,"influence_icon,db_asset"
250,Lábia do Carpinteiro,Reduz em 10% o dano recebido de ataques automáticos à distância. Dura 3 horas. Este efeito não acumula.,influence_icon,influence,62,,all_icons_named_png/00250_labia_do_carpinteiro.png,all_icons_by_id_png/250.png,"influence_icon,db_asset"
251,Fúria Desenfreada,"Aumenta em 2,5% a Fúria do personagem. Dura 24 horas. Acumula até 3 vezes.",influence_icon,influence,63,,all_icons_named_png/00251_furia_desenfreada.png,all_icons_by_id_png/251.png,"influence_icon,db_asset"
252,Experiência Necessária,Aumenta em 50% a experiência recebida pelo personagem de missões diárias. Dura 2 horas. Este efeito não acumula.,influence_icon,influence,64,,all_icons_named_png/00252_experiencia_necessaria.png,all_icons_by_id_png/252.png,"influence_icon,db_asset"
253,Grande Experiência em Doces,Aumenta em 50% a experiência recebida. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,253,,all_icons_named_png/00253_grande_experiencia_em_doces.png,all_icons_by_id_png/253.png,"influence_icon,db_asset"
254,Experiência em Doces,Aumenta em 25% a experiência recebida. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,254,,all_icons_named_png/00254_experiencia_em_doces.png,all_icons_by_id_png/254.png,"influence_icon,db_asset"
256,Unidade do Doce,Aumenta em 25% os Pontos de Guilda recebidos pelo personagem. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,256,,all_icons_named_png/00256_unidade_do_doce.png,all_icons_by_id_png/256.png,"influence_icon,db_asset"
257,Grande Domínio do Doce,Aumenta em 30% a experiência recebida de artesanato. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,257,,all_icons_named_png/00257_grande_dominio_do_doce.png,all_icons_by_id_png/257.png,"influence_icon,db_asset"
258,Domínio do Doce,Aumenta em 15% a experiência recebida de artesanato. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,258,,all_icons_named_png/00258_dominio_do_doce.png,all_icons_by_id_png/258.png,"influence_icon,db_asset"
260,Defesa do Caramelo,Reduz em 10% o dano recebido de monstros da masmorra. Dura 7 horas. Este efeito não acumula.,influence_icon,influence,260,,all_icons_named_png/00260_defesa_do_caramelo.png,all_icons_by_id_png/260.png,"influence_icon,db_asset"
261,Força do Caramelo Poderoso,Aumenta em 20% o dano contra monstros da masmorra. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,261,,all_icons_named_png/00261_forca_do_caramelo_poderoso.png,all_icons_by_id_png/261.png,"influence_icon,db_asset"
262,Força do Caramelo,Aumenta em 10% o dano contra monstros da masmorra. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,262,,all_icons_named_png/00262_forca_do_caramelo.png,all_icons_by_id_png/262.png,"influence_icon,db_asset"
263,Corte Prazeroso Maior,"Concede 5.000 de experiência de artesanato na profissão de Armadura de Tecido, Armadura Leve e Armadura Pesada.",influence_icon,influence,263,,all_icons_named_png/00263_corte_prazeroso_maior.png,all_icons_by_id_png/263.png,"influence_icon,db_asset"
264,Corte Prazeroso,"Concede 2.500 de experiência de artesanato na profissão de Armadura de Tecido, Armadura Leve e Armadura Pesada.",influence_icon,influence,264,,all_icons_named_png/00264_corte_prazeroso.png,all_icons_by_id_png/264.png,"influence_icon,db_asset"
374,Coração encantado de fogo-fátuo do pântano,,item_id_match,item,374,374,all_icons_named_png/00374_coracao_encantado_de_fogo-fatuo_do_pantano.png,all_icons_by_id_png/374.png,"influence_icon,db_asset"
375,Mensagem para Rey-Annun,,item_id_match,item,375,375,all_icons_named_png/00375_mensagem_para_rey-annun.png,all_icons_by_id_png/375.png,"influence_icon,db_asset"
377,Investida Subterrânea,Aumenta em 15% a velocidade de movimento do personagem nas masmorras. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,377,,all_icons_named_png/00377_investida_subterranea.png,all_icons_by_id_png/377.png,"influence_icon,db_asset"
378,Investida Subterrânea,Aumenta em 15% a velocidade de movimento do personagem nas masmorras. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,378,,all_icons_named_png/00378_investida_subterranea.png,all_icons_by_id_png/378.png,"influence_icon,db_asset"
379,Grande Reverência dos Anciãos,Aumenta em 20% a reputação recebida pelo personagem com todas as facções de Almahad. Dura até o final da Temporada de Atividades. Este efeito não acumula.,influence_icon,influence,379,,all_icons_named_png/00379_grande_reverencia_dos_anciaos.png,all_icons_by_id_png/379.png,"influence_icon,db_asset"
380,"Sybarida, Portadora da Perdição","Teletransporta você instantaneamente para Sybarida, Portadora da Perdição, uma chefe no Deserto da Miragem.",influence_icon,influence,380,,all_icons_named_png/00380_sybarida_portadora_da_perdicao.png,all_icons_by_id_png/380.png,"influence_icon,db_asset"
381,Shal'hazi Escamas de Ferro,"Teletransporta você instantaneamente para Shal'hazi Escamas de Ferro, um chefe no Deserto da Miragem.",influence_icon,influence,381,,all_icons_named_png/00381_shal_hazi_escamas_de_ferro.png,all_icons_by_id_png/381.png,"influence_icon,db_asset"
382,Akhanu-Amut Três Sóis,"Teletransporta você instantaneamente a Akhanu-Amut Três Sóis, uma chefe no Deserto da Miragem.",influence_icon,influence,382,,all_icons_named_png/00382_akhanu-amut_tres_sois.png,all_icons_by_id_png/382.png,"influence_icon,db_asset"
383,Abishai Estragasa,"Teletransporta você instantaneamente para Abishai Estragasa, um chefe no Reino do Escorpião.",influence_icon,influence,383,,all_icons_named_png/00383_abishai_estragasa.png,all_icons_by_id_png/383.png,"influence_icon,db_asset"
384,"Orh’aru, Mestre das Correntes","Teletransporta você instantaneamente para Orh’aru, Mestre das Correntes, um chefe no Reino do Escorpião.",influence_icon,influence,384,,all_icons_named_png/00384_orharu_mestre_das_correntes.png,all_icons_by_id_png/384.png,"influence_icon,db_asset"
385,Aneput Morteirada,"Teletransporta você instantaneamente para Aneput Morteirada, um chefe no Reino do Escorpião.",influence_icon,influence,385,,all_icons_named_png/00385_aneput_morteirada.png,all_icons_by_id_png/385.png,"influence_icon,db_asset"
386,Velocidade do Jakkar,Aumenta em 10% a velocidade de movimento do personagem na masmorra do Templo do Deus Antigo. Dura 2 horas. Este efeito não acumula.,influence_icon,influence,386,,all_icons_named_png/00386_velocidade_do_jakkar.png,all_icons_by_id_png/386.png,"influence_icon,db_asset"
387,Força do Jakkar,Aumenta em 3% o dano contra monstros na masmorra do Templo do Deus Antigo. Dura 2 horas. Acumula até 2 vezes.,influence_icon,influence,387,,all_icons_named_png/00387_forca_do_jakkar.png,all_icons_by_id_png/387.png,"influence_icon,db_asset"
388,Proteção dos Jakkars,Reduz em 3% o dano recebido de monstros nas masmorras do Templo do Deus Antigo. Dura 2 horas. Acumula até 3 vezes.,influence_icon,influence,388,,all_icons_named_png/00388_protecao_dos_jakkars.png,all_icons_by_id_png/388.png,"influence_icon,db_asset"
389,Força Tribal,"Aumenta em 3% o dano contra monstros de tumbas, postos avançados e torres. Dura 2 horas. Acumula até 2 vezes.",influence_icon,influence,389,,all_icons_named_png/00389_forca_tribal.png,all_icons_by_id_png/389.png,"influence_icon,db_asset"
390,Proteção Tribal,"Reduz em 3% o dano recebido de monstros de tumbas, postos avançados e torres. Dura 2 horas. Acumula até 3 vezes.",influence_icon,influence,390,,all_icons_named_png/00390_protecao_tribal.png,all_icons_by_id_png/390.png,"influence_icon,db_asset"
391,Ferocidade do Deserto,"Aumenta em 2,5% o dano contra jogadores nas Areias Douradas. Dura 2 horas. Acumula até 2 vezes.",influence_icon,influence,391,,all_icons_named_png/00391_ferocidade_do_deserto.png,all_icons_by_id_png/391.png,"influence_icon,db_asset"
392,Fortitude do Deserto,"Reduz em 2,5% o dano recebido de jogadores nas Areias Douradas. Dura 2 horas. Acumula até 3 vezes.",influence_icon,influence,392,,all_icons_named_png/00392_fortitude_do_deserto.png,all_icons_by_id_png/392.png,"influence_icon,db_asset"
393,Areias Mortais,"Aumenta em 3,5% a Força de Acerto Crítico do personagem nas Areias Douradas. Dura 2 horas. Acumula até 2 vezes.",influence_icon,influence,393,,all_icons_named_png/00393_areias_mortais.png,all_icons_by_id_png/393.png,"influence_icon,db_asset"
394,Terror aboboral,Aumenta em 10% o dano causado pela habilidade “Bomba? Abóbora!”. Duração: 20 horas. Número máximo de auxílios: 5.,influence_icon,influence,165,,all_icons_named_png/00394_terror_aboboral.png,all_icons_by_id_png/394.png,"influence_icon,db_asset"
395,Correria de Natal,Aumenta em 15% a velocidade de movimento do personagem no evento Festival sob Cerco e nas masmorras da Fronteira da Neve. Dura 7 dias. Este efeito não acumula.,influence_icon,influence,395,,all_icons_named_png/00395_correria_de_natal.png,all_icons_by_id_png/395.png,"influence_icon,db_asset"
398,Grande Sabedoria Mágica,Aumenta em 20% a reputação recebida pelo personagem com os Mestres da Luz e da Reflexão. Dura até o final da Temporada de Atividades. Este efeito não acumula.,influence_icon,influence,398,,all_icons_named_png/00398_grande_sabedoria_magica.png,all_icons_by_id_png/398.png,"influence_icon,db_asset"
399,Habilidade do Fabricante de Braceletes,Concede 1.000 de experiência de artesanato na profissão de Braceletes.,influence_icon,influence,399,,all_icons_named_png/00399_habilidade_do_fabricante_de_braceletes.png,all_icons_by_id_png/399.png,"influence_icon,db_asset"
400,Sabedoria dos Aventureiros,Concede 200 de reputação com os Anciãos da Guilda dos Aventureiros.,influence_icon,influence,400,,all_icons_named_png/00400_sabedoria_dos_aventureiros.png,all_icons_by_id_png/400.png,"influence_icon,db_asset"
403,Grande Sabedoria Mágica,Aumenta em 20% a reputação recebida pelo personagem com os Mestres de Feitiçaria de Combate e Magizoologia Obscura. Dura até o final da Temporada de Atividades. Este efeito não acumula.,influence_icon,influence,403,,all_icons_named_png/00403_grande_sabedoria_magica.png,all_icons_by_id_png/403.png,"influence_icon,db_asset"
404,Favorecido pelos Mestres,Aumenta em 15% a reputação recebida pelo personagem com os Mestres de Feitiçaria de Combate e Magizoologia Obscura. Dura 4 horas. Este efeito não acumula.,influence_icon,influence,404,,all_icons_named_png/00404_favorecido_pelos_mestres.png,all_icons_by_id_png/404.png,"influence_icon,db_asset"
406,Primeiro dos Perdidos,"Teletransporta você instantaneamente para o Primeiro dos Perdidos, um chefe no Vale dos Ossos.",influence_icon,influence,406,,all_icons_named_png/00406_primeiro_dos_perdidos.png,all_icons_by_id_png/406.png,"influence_icon,db_asset"
407,Nesquarin Fantasma,"Teletransporta você instantaneamente para o Nesquarin Fantasma, um chefe no Vale dos Ossos.",influence_icon,influence,407,,all_icons_named_png/00407_nesquarin_fantasma.png,all_icons_by_id_png/407.png,"influence_icon,db_asset"
409,Poder Imortal,Aumenta em 3% o dano contra monstros de catacumba. Dura 2 horas. Acumula até 2 vezes.,influence_icon,influence,409,,all_icons_named_png/00409_poder_imortal.png,all_icons_by_id_png/409.png,"influence_icon,db_asset"
410,Fogos de artifício assassinos,Aumenta em 10% o dano e a duração do auxílio da habilidade “Luzes engraçadas”. Duração: 20 horas. Número máximo de auxílios: 5.,influence_icon,influence,167,,all_icons_named_png/00410_fogos_de_artificio_assassinos.png,all_icons_by_id_png/410.png,"influence_icon,db_asset"
411,Rodada extra,Aumenta em 10% a duração da vida e o poder de monstros evocados com a habilidade “Ajuda do Barrica”. Duração: 20 horas. Número máximo de auxílios: 5.,influence_icon,influence,168,,all_icons_named_png/00411_rodada_extra.png,all_icons_by_id_png/411.png,"influence_icon,db_asset"
412,Entrega Brutal,Aumenta em 4% a Penetração do personagem. Dura 24 horas. Acumula até 3 vezes.,influence_icon,influence,171,,all_icons_named_png/00412_entrega_brutal.png,all_icons_by_id_png/412.png,"influence_icon,db_asset"
443,Carneiro Enfurecido,Aumenta em 5% a chance de Acerto Crítico e a Precisão do personagem. Dura 24 horas. Acumula até 3 vezes.,influence_icon,influence,188,,all_icons_named_png/00443_carneiro_enfurecido.png,all_icons_by_id_png/443.png,"skill_icon,influence_icon,db_asset,skill_vs_influence"
445,Armadura de Tecido,Permite que o personagem equipe armadura de tecido.,skill_icon,skill,22,,all_icons_named_png/00445_armadura_de_tecido.png,all_icons_by_id_png/445.png,"skill_icon,db_asset"
446,Adagas,Permite que o personagem equipe adagas.,skill_icon,skill,10,,all_icons_named_png/00446_adagas.png,all_icons_by_id_png/446.png,"skill_icon,db_asset"
447,Icone 447,,db_icon_unmapped,,,,all_icons_named_png/00447_icone_447.png,all_icons_by_id_png/447.png,db_asset
449,Proteção Telúrica,"Aplica Proteção Telúrica ao personagem ou aliado por um curto período, aumentando as Defesas Física e Mágica.",skill_icon,skill,27,,all_icons_named_png/00449_protecao_telurica.png,all_icons_by_id_png/449.png,"skill_icon,db_asset"
450,Terremoto,"Ataca todos os inimigos na área escolhida, causando dano mágico e aplicando Terremoto por um curto período, prendendo-os no lugar e reduzindo sua Velocidade de Ataque.",skill_icon,skill,24,,all_icons_named_png/00450_terremoto.png,all_icons_by_id_png/450.png,"skill_icon,db_asset"
451,Concentração,Aumenta em 2% a vida máxima e em 4% os Poderes Físico e Mágico para todos os personagens da facção selecionada.,skill_icon,skill,11,,all_icons_named_png/00451_concentracao.png,all_icons_by_id_png/451.png,"skill_icon,db_asset"
452,Evasão,Aumenta a chance de Esquiva do personagem por um curto período.,skill_icon,skill,38,,all_icons_named_png/00452_evasao.png,all_icons_by_id_png/452.png,"skill_icon,db_asset"
453,Golpe Relâmpago,"Ataca o inimigo, causando muito dano físico.",skill_icon,skill,13,,all_icons_named_png/00453_golpe_relampago.png,all_icons_by_id_png/453.png,"skill_icon,db_asset"
454,Estrutura Corporal Normal,Especifica a reserva de saúde de um personagem.,skill_icon,skill,23,,all_icons_named_png/00454_estrutura_corporal_normal.png,all_icons_by_id_png/454.png,"skill_icon,db_asset"
455,Aventura Lendária,Permite que o personagem entre em masmorras instanciadas de graça. Dura 1 hora. Este efeito não acumula.,influence_icon,influence,190,,all_icons_named_png/00455_aventura_lendaria.png,all_icons_by_id_png/455.png,"skill_icon,influence_icon,db_asset,skill_vs_influence"
